party_id,party_type,display_name,legal_name,given_name,family_name,birth_date,email,created_ts,updated_ts
738ff9f5-7eb0-4783-a602-9ea4dc25b676,PERSON,Mila Blom,Mila Blom,Mila,Blom,1970-04-03,blom.mila@quicknet.nl,2020-10-19T19:40:10,2026-04-01T11:05:50.379499
ff31d6f8-651d-4c3c-b0cb-86768b793716,PERSON,Max van der Steen,Max van der Steen,Max,van der Steen,1991-02-02,rsteen.max@tele2.nl,2024-06-08T20:29:09,2026-04-01T11:05:50.379685
85c6b895-61c4-47ef-ae0e-7f341485cf5b,PERSON,Finn van den Brink,Finn van den Brink,Finn,van den Brink,1980-07-15,finn_nbrink@freeler.nl,2026-09-06T14:33:16,2026-04-01T11:05:50.379800
39c3cea7-53fb-43c6-8072-6e31fe5ffda6,PERSON,Mees Bos,Mees Bos,Mees,Bos,2000-12-07,mees82@home.nl,2022-03-25T04:23:48,2026-04-01T11:05:50.379901
4768c83b-7449-4757-9dd0-f5c025f504c1,ORG,Services eerste,Services eerste,,,,info@serviceseerste.nl,2021-11-07T08:33:55,2026-04-01T11:05:50.379988
a4305d5d-0240-468e-b476-62c6478d86fc,PERSON,Jan Meijer,Jan Meijer,Jan,Meijer,1949-02-13,jan.meijer@hotmail.nl,2023-09-15T02:32:15,2026-04-01T11:05:50.380079
ebbfda1c-6c25-4378-9059-fb25bd1c2e39,PERSON,Wilhelmina Spijker,Wilhelmina Spijker,Wilhelmina,Spijker,1976-09-28,wilhelmina_spijker@live.nl,2021-03-23T07:12:12,2026-04-01T11:05:50.380165
e8e3d1b9-5432-413c-9b48-2723889a097f,PERSON,Judith Jacobs,Judith Jacobs,Judith,Jacobs,1980-04-20,judithjacobs@upcmail.nl,2020-01-09T12:16:59,2026-04-01T11:05:50.380243
57820594-4a5f-4763-b28f-de5788ac94dd,PERSON,Johannes de Koning,Johannes de Koning,Johannes,de Koning,1960-06-04,johannes65@yahoo.nl,2020-08-20T16:05:54,2026-04-01T11:05:50.380320
ae05f12f-f04b-45c8-ba41-49edf2719a50,PERSON,Linda de Bruijn,Linda de Bruijn,Linda,de Bruijn,2004-03-18,bruijn.linda@upcmail.nl,2023-05-13T14:20:59,2026-04-01T11:05:50.380397
f4ad830c-db55-4e5b-81c5-3208f857d416,PERSON,Heleen Jansen,Heleen Jansen,Heleen,Jansen,1955-08-06,jansen.heleen@zonnet.nl,2021-07-04T08:07:56,2026-04-01T11:05:50.380474
cd9a87ef-b999-4945-abf2-345bba28213c,PERSON,Jan Verhoeven,Jan Verhoeven,Jan,Verhoeven,1960-10-18,j.verhoeven@kpnmail.nl,2024-12-14T17:45:27,2026-04-01T11:05:50.380555
17f6bd49-5ab4-413d-9e7c-b3733d893fea,PERSON,Thijs Stam,Thijs Stam,Thijs,Stam,1982-10-05,thijs46@live.nl,2026-12-17T23:09:59,2026-04-01T11:05:50.380632
5a9e48f8-e96a-4053-bdf5-5b9104abe6f0,ORG,Nederlandse Food,Nederlandse Food,,,,info@nederlandsefood.nl,2020-04-06T21:12:25,2026-04-01T11:05:50.380710
af9d1d66-792d-4770-a074-ec18c51ed156,ORG,Molenaar Healthcare B.V.,Molenaar Healthcare B.V.,,,,info@molenaarhealthcarebv.nl,2020-06-30T22:27:00,2026-04-01T11:05:50.380784
c019cf73-0be0-4575-ade9-14736e723ad8,PERSON,Lisa van der Meer,Lisa van der Meer,Lisa,van der Meer,2007-01-25,lisa_rmeer@casema.nl,2021-12-13T19:36:19,2026-04-01T11:05:50.380865
fcc13de4-fb3a-407d-bb20-f1a51d7c4372,PERSON,Joost Klein,Joost Klein,Joost,Klein,1967-05-17,joost.klein@freeler.nl,2023-06-25T07:51:12,2026-04-01T11:05:50.380942
4341d7ee-ed49-44c2-9e57-f77737468ad0,PERSON,Theodorus van den Brink,Theodorus van den Brink,Theodorus,van den Brink,1992-10-08,nbrink.theodorus@planet.nl,2025-03-17T01:35:15,2026-04-01T11:05:50.381017
dfc56ae9-481c-40e4-acd2-e71afcf34f69,PERSON,Sam Groen,Sam Groen,Sam,Groen,2003-07-05,samgroen@hetnet.nl,2023-02-09T16:31:40,2026-04-01T11:05:50.381091
