port_request_id,subscriber_id,direction,donor_operator,recipient_operator,requested_msisdn,status,requested_date,completed_date,created_ts,updated_ts
079f2cbd-3ba3-4eec-932a-6675aa6f84ae,37cf7d20-609d-47ac-8b22-5a02fa9449fb,PORT_OUT,DutchTelco,Tele2,+31654410265,COMPLETED,2025-03-15,2020-11-25,2025-03-15T20:11:43,2026-04-01T11:05:50.405285
5b670d46-7731-42c0-912a-79656f552430,fcba9ede-f8b3-4b81-b6da-0d46948d5720,PORT_OUT,DutchTelco,Ben,+31673756411,COMPLETED,2020-09-01,2022-12-11,2020-09-01T09:51:25,2026-04-01T11:05:50.405371
e00ac881-6f8d-4d67-944a-7d178a70d8f0,58cd3388-572d-424c-9b24-518e4dda55ed,PORT_IN,T-Mobile,DutchTelco,+31606823048,APPROVED,2024-04-26,,2024-04-26T20:03:50,2026-04-01T11:05:50.406074
e1eacd1e-516b-46da-9d52-f212d995207d,b9405874-cde2-4eab-b200-cda922104062,PORT_OUT,DutchTelco,KPN,+31690319503,COMPLETED,2021-01-20,2020-04-23,2021-01-20T16:16:01,2026-04-01T11:05:50.406628
754ee7e5-4fa5-48eb-b0be-fe60f70ef67e,0fff5509-5652-4bb2-8552-47961bac04cd,PORT_OUT,DutchTelco,KPN,+31619413926,REQUESTED,2021-06-11,,2021-06-11T21:44:14,2026-04-01T11:05:50.406843
5179e4e2-3da2-4792-b999-1535b686735b,dd709fc1-6029-4dfa-8744-13b13cbcea62,PORT_IN,Tele2,DutchTelco,+31630663887,APPROVED,2026-06-07,,2026-06-07T00:19:24,2026-04-01T11:05:50.407216
02032ed8-b2f6-44a7-9485-8c57daa2435e,8f6c7b0b-af89-4fcd-84d2-128156e8320e,PORT_IN,T-Mobile,DutchTelco,+31652007739,SCHEDULED,2021-03-14,,2021-03-14T07:04:11,2026-04-01T11:05:50.407244
354fb0c9-85f3-4636-9c65-41468484f099,f4d49950-c2d7-4c99-8df9-e65f8660625e,PORT_OUT,DutchTelco,Ben,+31677070593,COMPLETED,2020-09-04,2026-10-16,2020-09-04T19:48:52,2026-04-01T11:05:50.407332
7d8da00c-de6c-4ef5-b497-c460926c1b33,1090765f-6249-4563-a29a-13662f6a2619,PORT_IN,T-Mobile,DutchTelco,+31685978388,COMPLETED,2026-09-18,2025-08-15,2026-09-18T10:34:40,2026-04-01T11:05:50.407893
2cc946d2-28e8-42b6-931f-74bf20f0f7fe,33678fa3-8ac6-4a05-8955-8db72e134169,PORT_OUT,DutchTelco,KPN,+31682854597,REQUESTED,2022-09-05,,2022-09-05T12:00:27,2026-04-01T11:05:50.409105
4ce6069e-9064-472a-a790-55fef65af1ef,77439361-d053-4dc8-9437-d1ed0063ccd3,PORT_IN,Lebara,DutchTelco,+31672173585,COMPLETED,2021-05-12,2025-09-23,2021-05-12T00:15:04,2026-04-01T11:05:50.409169
